,LocationAbbr,LocationDesc,Year,Datasource,TopicDesc,MeasureDesc,SubMeasureDesc,Data_Value,Data_Value_Unit,Data_Value_Type,GeoLocation,Source,TopicTypeId,TopicId,MeasureId,SubMeasureID,SubMeasureIdDisplayOrder,Latitude,Longitude
10,PA,Pennsylvania,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.606,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294
11,MT,Montana,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5670000000000001,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645
12,OH,Ohio,1979,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.5870000000000001,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
13,NV,Nevada,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.633,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564
14,GA,Georgia,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.789,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346
15,NH,New Hampshire,1982,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.747,$,Dollars,"(43.655950113, -71.50036092)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.655950113, -71.50036092
16,FL,Florida,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.993,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539
17,VT,Vermont,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.9059999999999999,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791
18,MT,Montana,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.955,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645
19,RI,Rhode Island,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.003,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314
20,OH,Ohio,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.022,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
21,FL,Florida,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.3980000000000001,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539
22,VA,Virginia,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.094,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463
23,UT,Utah,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5190000000000001,$,Dollars,"(39.360700171, -111.587130635)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.360700171, -111.587130635
24,ME,Maine,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.589,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336
25,AZ,Arizona,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6569999999999998,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277
26,OH,Ohio,1992,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.625,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
27,MS,Mississippi,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.5390000000000001,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825
28,MA,Massachusetts,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.076,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675
29,AL,Alabama,1996,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6740000000000002,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762
30,MA,Massachusetts,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.585,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675
31,CO,Colorado,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.042,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921
32,SD,South Dakota,1998,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.079,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637
33,MT,Montana,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.6069999999999998,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645
34,OH,Ohio,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.793,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
35,WI,Wisconsin,2005,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.783,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742
36,OH,Ohio,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.19,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
37,GA,Georgia,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.655,$,Dollars,"(32.839681093, -83.627580346)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.839681093, -83.627580346
38,ME,Maine,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.452000000000001,$,Dollars,"(45.254228894001, -68.985031336)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,45.254228894001, -68.985031336
39,OH,Ohio,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.227,$,Dollars,"(40.060210141, -82.404260056)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.060210141, -82.404260056
40,VT,Vermont,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,8.414,$,Dollars,"(43.625381239, -72.517640791)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.625381239, -72.517640791
41,IA,Iowa,2019,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,6.388999999999999,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556
42,IL,Illinois,1976,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.494,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178
43,FL,Florida,2011,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.519,$,Dollars,"(28.932040377, -81.928960539)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,28.932040377, -81.928960539
44,HI,Hawaii,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.447,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403
45,OK,Oklahoma,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.038,$,Dollars,"(35.472031356, -97.521070214)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.472031356, -97.521070214
46,LA,Louisiana,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.781,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.312660644, -92.445680071
47,MS,Mississippi,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.6920000000000001,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825
48,WY,Wyoming,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.53,$,Dollars,"(43.235541343, -108.109830353)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.235541343, -108.109830353
49,NJ,New Jersey,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.493,$,Dollars,"(40.130570048, -74.273691288)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.130570048, -74.273691288
50,AZ,Arizona,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.256,$,Dollars,"(34.86597028, -111.763811277)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.86597028, -111.763811277
51,PA,Pennsylvania,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.944,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294
52,NM,New Mexico,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.63,$,Dollars,"(34.520880952, -106.240580985)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.520880952, -106.240580985
53,KY,Kentucky,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.977,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048
54,SD,South Dakota,1994,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.621,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637
55,SD,South Dakota,2009,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.437,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637
56,WI,Wisconsin,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.008,$,Dollars,"(44.393191174, -89.816370742)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.393191174, -89.816370742
57,VA,Virginia,2013,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.939,$,Dollars,"(37.542680674, -78.457890463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.542680674, -78.457890463
58,MO,Missouri,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.325,$,Dollars,"(38.635790776, -92.566300053)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.635790776, -92.566300053
59,NE,Nebraska,1989,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.4340000000000002,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623
60,CT,Connecticut,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.3180000000000005,$,Dollars,"(41.56266102, -72.649840952)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.56266102, -72.649840952
61,KY,Kentucky,1971,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.306,$,Dollars,"(37.645970271, -84.774971048)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,37.645970271, -84.774971048
62,IA,Iowa,1973,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.43200000000000005,$,Dollars,"(42.469400913, -93.816490556)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.469400913, -93.816490556
63,IN,Indiana,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.466,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194
64,CO,Colorado,2018,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.872999999999999,$,Dollars,"(38.843840757, -106.133610921)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.843840757, -106.133610921
65,NV,Nevada,2010,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.02,$,Dollars,"(39.49324039, -117.071840564)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.49324039, -117.071840564
66,WA,Washington,1972,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.45899999999999996,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079
67,AR,Arkansas,1983,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.9359999999999999,$,Dollars,"(34.748650124, -92.274490743)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,34.748650124, -92.274490743
68,PA,Pennsylvania,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.909,$,Dollars,"(40.793730152, -77.860700294)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.793730152, -77.860700294
69,KS,Kansas,1988,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.365,$,Dollars,"(38.3477403, -98.200781227)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.3477403, -98.200781227
70,TN,Tennessee,2000,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.815,$,Dollars,"(35.68094058, -85.774490914)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.68094058, -85.774490914
71,NE,Nebraska,2017,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.497999999999999,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623
72,DC,District of Columbia,2002,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.8110000000000004,$,Dollars,"(38.890371385, -77.031961127)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.890371385, -77.031961127
73,SD,South Dakota,2004,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.5060000000000002,$,Dollars,"(44.353130053, -100.373530637)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.353130053, -100.373530637
74,AL,Alabama,1980,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.688,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762
75,IL,Illinois,2015,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.396,$,Dollars,"(40.485010283, -88.997710178)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,40.485010283, -88.997710178
76,ND,North Dakota,1999,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.975,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049
77,WA,Washington,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.7260000000000004,$,Dollars,"(47.522278629, -120.47001079)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.522278629, -120.47001079
78,IN,Indiana,1995,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.4780000000000002,$,Dollars,"(39.766910452, -86.149960194)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.766910452, -86.149960194
79,ND,North Dakota,1978,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.55,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049
80,NE,Nebraska,2014,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.3260000000000005,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623
81,MI,Michigan,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.6340000000000001,$,Dollars,"(44.661319543001, -84.71439027)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,44.661319543001, -84.71439027
82,WV,West Virginia,1993,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.501,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135
83,DE,Delaware,1974,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.45899999999999996,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.008830667, -75.577741168
84,ID,Idaho,1986,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.071,$,Dollars,"(43.682630005, -114.363730042)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,43.682630005, -114.363730042
85,LA,Louisiana,2003,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.41,$,Dollars,"(31.312660644, -92.445680071)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,31.312660644, -92.445680071
86,WV,West Virginia,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,4.752,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135
87,MA,Massachusetts,1977,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.618,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675
88,ND,North Dakota,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.598,$,Dollars,"(47.475319779, -100.118421049)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.475319779, -100.118421049
89,HI,Hawaii,1990,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.635,$,Dollars,"(21.304850435, -157.857749403)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,21.304850435, -157.857749403
90,NC,North Carolina,2007,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.447,$,Dollars,"(35.466220975, -79.159250463)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,35.466220975, -79.159250463
91,NE,Nebraska,1991,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,1.695,$,Dollars,"(41.641040988001, -99.365720623)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.641040988001, -99.365720623
92,MA,Massachusetts,2012,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,7.505,$,Dollars,"(42.27687047, -72.082690675)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,42.27687047, -72.082690675
93,WV,West Virginia,2006,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,3.478,$,Dollars,"(38.665510202, -80.712640135)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,38.665510202, -80.712640135
94,RI,Rhode Island,1997,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,2.322,$,Dollars,"(41.708280193, -71.522470314)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,41.708280193, -71.522470314
95,MS,Mississippi,1984,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.9840000000000001,$,Dollars,"(32.745510099, -89.538030825)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.745510099, -89.538030825
96,DE,Delaware,2016,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,5.992999999999999,$,Dollars,"(39.008830667, -75.577741168)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,39.008830667, -75.577741168
97,MT,Montana,1981,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.657,$,Dollars,"(47.066528972, -109.424420645)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,47.066528972, -109.424420645
98,AL,Alabama,1975,OW,The Tax Burden on Tobacco,Cigarette Sales,Average Cost per pack,0.504,$,Dollars,"(32.840571122, -86.631860762)","Table 13- Orzechowski and Walker, Tax Burden on Tobacco",POL,450POL,450CGS,455CGS,1,32.840571122, -86.631860762
